,REGION,PROVINCE,CITY,LOCATION,OWNERSHIP CLASS.,,NAME OF HOSPITAL,ABC,MEDICAL DIRECTOR/ CHIEF OF HOSPITAL,CLASS,SERVCE CAPABILI TY,CONTACT NOS.,E-MAIL ADDRESS,FAX NO.,MOBILE NO.,REMARKS,Actual Hospital Name
251,CENTRAL VISAYAS,CEBU,Mandaue City,"Northroad, Jagobiao, Mandaue City, Cebu",GOVT,DOH-RET,EVERSLEY CHILDS SANITARIUM AND GENERAL HOSPITAL,100,"Dr. Pythagoras M. Zerna, DPBS, FPSGS",General,Level 1,(032) 346-2468,com; ecschdcv@gmail. com,,,50-100,EVERSLEY CHILDS SANITARIUM AND GENERAL HOSPITAL
252,CENTRAL VISAYAS,CEBU,Lapu-Lapu City,"A. Tumulak St., Gun-ob, Lapu-lapu City, Cebu",GOVT,City,LAPU-LAPU CITY HOSPITAL,50,LTC Louise A. Cajita MC,General,Level 1,(032)340-0249,"lapulapucityhospi tal@yahoo.com; boyetjade@yahoo
.com","(032)341-
5892",,,LAPU-LAPU CITY HOSPITAL
253,CENTRAL VISAYAS,CEBU,Talisay City,"San Isidro, Talisay City, Cebu",GOVT,DOH-RET,CEBU SOUTH MEDICAL CENTER (FORMERLY TALISAY DISTRICT HOSPITAL),201,"Dr. Agustin D. Agos, Jr.",General,Level 2,(032)273-3713,tmc.doh.cebu@g mail.com; csmccebu_doh@y ahoo.com,,,"150-201 (4/15/21)
upgraded from Level 1 to Level 2 (11/12/2021)",CEBU SOUTH MEDICAL CENTER (FORMERLY TALISAY DISTRICT HOSPITAL)
254,CENTRAL VISAYAS,CEBU,Toledo City,"Magsaysay Hills, Poblacion, Toledo City, Cebu",GOVT,City,TOLEDO CITY GENERAL HOSPITAL,12,Dr. Clyde Vincent Bequilla,General,Level 1,"(032)466-1900;
322-6447",tcgh.gov@gmail.c om,,,upgraded to Level 1,TOLEDO CITY GENERAL HOSPITAL
255,CENTRAL VISAYAS,BOHOL,,"Pob. Weste, Catigbian, Bohol",GOVT,Province,CATIGBIAN DISTRICT HOSPITAL,25,Dr. Esterlita A. Tubal,General,Level 1,(038)416-0198,cadishosp@yaho o.com.ph,-,,,CATIGBIAN DISTRICT HOSPITAL
256,CENTRAL VISAYAS,BOHOL,,"Poblacion Sur, Carmen, Bohol",GOVT,Province,CONG. SIMEON G. TORIBIO MEMORIAL HOSPITAL,40,Dr. Josephine B. Jabonillo,General,Level 1,(038) 5259086,carmenhosptal168 @yahoo.com,"(038)525-
9081",9079062536,,CONG. SIMEON G. TORIBIO MEMORIAL HOSPITAL
257,CENTRAL VISAYAS,BOHOL,,"Bood, Ubay, Bohol",GOVT,DOH-RET,DON EMILIO DEL VALLE MEMORIAL HOSPITAL,200,Dr. Nelson A. Elle,General,Level 1,(038) 5188031,devh_ubay@yaho o.com,"(038)518-
8309",,100-200,DON EMILIO DEL VALLE MEMORIAL HOSPITAL
258,CENTRAL VISAYAS,BOHOL,,"San Jose, Talibon, Bohol",GOVT,Province,GARCIA MEMORIAL PROVINCIAL HOSPITAL,75,Dr. Miguelito S. Jayoma,General,Level 1,(038)515-5081,gmph.bohol2012 @gmail.com,"(038)515-
5081",,,GARCIA MEMORIAL PROVINCIAL HOSPITAL
259,CENTRAL VISAYAS,BOHOL,,"Severo Salas St., Pob. Jagna, Bohol",GOVT,Province,TEODORO B. GALAGAR DISTRICT HOSPITAL,75,"Dr. Lina R. Cero, MPA",General,Level 1,(038)531-8107,tbgdh10@yahoo.c om,"(038)531-
8106",,,TEODORO B. GALAGAR DISTRICT HOSPITAL
260,CENTRAL VISAYAS,BOHOL,Tagbilaran City,"M. Parras St., Tagbilaran City, Bohol",GOVT,DOH Ret,GOV. CELESTINO GALLARES MEMORIAL HOSPITAL,200,Dr. Mutya Kismet T. Macuno,General,Level 3,038-4123181,gcgmh_bohol@ya hoo.com.ph,,,,GOV. CELESTINO GALLARES MEMORIAL HOSPITAL
261,CENTRAL VISAYAS,NEG. OR.,Bayawan City,"Zamora Street, Ubos, Bayawan City, Negros Oriental",GOVT,Province,BAYAWAN DISTRICT HOSPITAL,50,Dr. Raul L. Encarnacion,General,Level 1,(035)430-0155-56,bdh_stabayabas@ yahoo.com,"(035)430-
0156",09778424788,,BAYAWAN DISTRICT HOSPITAL
262,CENTRAL VISAYAS,NEG. OR.,Guihulngan City,"Guihulngan City, Negros Oriental",GOVT,Province,GOV. WILLIAM (BILLY) VILLEGAS MEMORIAL HOSPITAL,50,Dr. Edgardo P. Pialago,General,Level 1,"(035) 410-4059 /
231 3175","gwilliamvillegas_ memhosp@yahoo
.com","(035) 231-
3095",,,GOV. WILLIAM (BILLY) VILLEGAS MEMORIAL HOSPITAL
263,CENTRAL VISAYAS,NEG. OR.,Dumaguete City,"North Rd., National Highway, Piapi, Dumaguete City",GOVT,Province,NEGROS ORIENTAL PROVINCIAL HOSP.,250,Dr. Marc Angelo C. Llosa,General,Level 1,(035) 226-2705,ail.com; negor.provincialh ospital@gmail.co m,,,,NEGROS ORIENTAL PROVINCIAL HOSP.
264,CENTRAL VISAYAS,SIQUIJOR,,"Pangi, Siquijor, Siquijor",GOVT,Province,SIQUIJOR PROVINCIAL HOSPITAL,75,"Dr. Jemma M. Fortich, DPPS",General,Level 1,(035)344-2012/ 480-9242,siquijor.hospital@ yahoo.com,"(035)344-
2012",,,SIQUIJOR PROVINCIAL HOSPITAL
265,EASTERN VISAYAS,LEYTE,,"Maharlika Highway, Bunga, Abuyog, Leyte",GOVT,Province,ABUYOG DISTRICT HOSPITAL,75,Dr. Rodelio Neil M. Pajuelas,General,Level 1,9778213692,adh.leyte@yahoo. com,N/A,,,ABUYOG DISTRICT HOSPITAL
266,EASTERN VISAYAS,LEYTE,,"Camansi Dist. I, Burauen, Leyte",GOVT,Province,BURAUEN DISTRICT HOSPITAL,75,Dr. Eugenie N. Ortega,General,Level 1,"09173106955 /
09362403519",ortega.eugenie@g mail.com,N/A,,,BURAUEN DISTRICT HOSPITAL
267,EASTERN VISAYAS,LEYTE,,"Baruguhay Norte, Carigara, Leyte",GOVT,Province,CARIGARA DISTRICT HOSPITAL,25,Dr. Maribeth R. Aguilar,General,Level 1,0917119 2107,maribethraguilar @yahoo.com,N/A,,,CARIGARA DISTRICT HOSPITAL
268,EASTERN VISAYAS,LEYTE,,"Mabini St., Mazanalo, Palompon, Leyte",GOVT,Province,DR. MANUEL B. VELOSO MEMORIAL HOSPITAL,45,Dr. Corazon Grace M. Fernandez,General,Level 1,"555-8833 /
09171059688 /
09173079382",mbvmhospital@y ahoo.com,N/A,,75-45,DR. MANUEL B. VELOSO MEMORIAL HOSPITAL
269,EASTERN VISAYAS,LEYTE,,"CV Alcuino St., Central, Hilongos, Leyte",GOVT,Province,HILONGOS DISTRICT HOSPITAL,25,Dr. Julius W. Dances,General,Level 1,"(053) 567-9452 /
09954783920",hdhcares@gmail. com,N/A,,,HILONGOS DISTRICT HOSPITAL
270,EASTERN VISAYAS,LEYTE,,"Candahug, Palo, Leyte",GOVT,Province,LEYTE PROVINCIAL HOSPITAL,50,Dr. Ofelia Absin,General,Level 1,323-3059,ofelia- 113abs@yahoo.co m,N/A,,,LEYTE PROVINCIAL HOSPITAL
271,EASTERN VISAYAS,LEYTE,,"San Salvador St, Brgy. Salvacion, Palo, Leyte",GOVT,DOH-RET,SCHISTOSOMIASIS HOSPITAL,25,Dr. Lyn L. Verona,General,Level 1,(053) 832-0157,schistosomiasish ospital@yahoo.co m,N/A,,,SCHISTOSOMIASIS HOSPITAL
,EASTERN VISAYAS,LEYTE,,"Corner G.H. del Pillar &
J.P. Laurel Sts., Zone 8, Baybay Leyte",GOVT,Province,WESTERN LEYTE PROVINCIAL HOSPITAL,50,Dr. Corazon Grace M. Fernandez,General,Level 1,(053) 335-2250,wlph6521@gmail. com,N/A,,100-50,WESTERN LEYTE PROVINCIAL HOSPITAL
272,,,,,,,,,,,,,,,,,
273,EASTERN VISAYAS,LEYTE,Tacloban City,"Barangay 93, Bagacay, Tacloban City, Leyte",GOVT,DOH Ret.,"EASTERN VISAYAS  MEDICAL
CENTER (formerly Eastern Visayas Regional Medical Center)",500,Dr. Salvador B. Evardone,General,Level 3,"053-
8320308/0916452
6187",evrmcmccoffice@ gmail.com,,,changed name Nov2021,"EASTERN VISAYAS  MEDICAL
CENTER (formerly Eastern Visayas Regional Medical Center)"
274,EASTERN VISAYAS,LEYTE,Tacloban City,"Brgy. 80, Marasbaras, Tacloban City",GOVT,CITY,TACLOBAN CITY HOSPITAL,25,Dr. Jeodina Baleos- Gumagay,General,Level 1,888-1620,tchopd16@yahoo. com,N/A,,,TACLOBAN CITY HOSPITAL
275,EASTERN VISAYAS,LEYTE,Ormoc City,Ormoc City,GOVT,Province,ORMOC DISTRICT HOSPITAL,100,Dr. Ma. Lourdes D. Banquesio,General,Level 1,"(053) 832-0119 /
09176598007",ormocdistrict.hos pital@yahoo.com,N/A,,,ORMOC DISTRICT HOSPITAL
276,EASTERN VISAYAS,SOUTHERN LEYTE,,"Brgy. Poblacion, Anahawan, Southern Leyte",GOVT,Province,ANAHAWAN DISTRICT HOSPITAL,50,Dr. Romeo Dax Roa,General,Level 1,9177778965,anahawandistricth ospital@gmail.co m,N/A,,,ANAHAWAN DISTRICT HOSPITAL
277,EASTERN VISAYAS,SOUTHERN LEYTE,,"Osmena St., Zone 1, Sogod, Southern Leyte",GOVT,Province,SOGOD DISTRICT HOSPITAL,50,Dr. Julius T. Narbonita,General,Level 1,(053) 577-9138,sogoddistricthosp ital@gmail.com,N/A,,,SOGOD DISTRICT HOSPITAL
278,EASTERN VISAYAS,SOUTHERN LEYTE,Maasin City,"Dongon, Maasin City, Southern Leyte",GOVT,Province,SALVACION OPPUS YNIGUEZ MEMORIAL PROVINCIAL HOSPITAL,100,Dr. Ionne L. Castillones,General,Level 2,9257153537,mcc_soymph@ya hoo.com,,,,SALVACION OPPUS YNIGUEZ MEMORIAL PROVINCIAL HOSPITAL
279,EASTERN VISAYAS,SAMAR,,"San Miguel, Loyo, Basey, Samar",GOVT,Province,BASEY DISTRICT HOSPITAL,35,Dr. Jansenn V. Mutya,General,Level 1,9778420717,baseydistricthosp ital@yahoo.com,N/A,,,BASEY DISTRICT HOSPITAL
280,EASTERN VISAYAS,SAMAR,,"Burgos St., East Awang, Calbayog, Samar",GOVT,Province,CALBAYOG DISTRICT HOSPITAL,75,Dr. Rutchie C. Jordan- Egos,General,Level 1,9459544789,calbayog_district_ hospital@yahoo.c om,N/A,,,CALBAYOG DISTRICT HOSPITAL
281,EASTERN VISAYAS,SAMAR,Catbalogan City,"Camp Gen. Vicente Lukban, 8ID DA, Maulong, Catbalogan City, Samar",GOVT,AFP,CAMP LUKBAN STATION HOSPITAL,25,LTC. Dionido C. Napalang,General,Level 1,9957697443,camplukbanstatio nhospital@yahoo. com,N/A,,,CAMP LUKBAN STATION HOSPITAL
282,EASTERN VISAYAS,SAMAR,Catbalogan City,"Capitol Groud, Brgy. 7, Catbalogan City",GOVT,Province,SAMAR PROVINCIAL HOSPITAL,100,Dr. Jonathan Gabriel J. Paquit,General,Level 1,"(055) 543-8922 /
09173031276",samarprovincialh ospital@yahoo.co m.ph,N/A,,,SAMAR PROVINCIAL HOSPITAL
283,EASTERN VISAYAS,EASTERN SAMAR,,"Brgy. Cantahay, Guiuan, Eastern Samar",GOVT,Province,FELIPE ABRIGO MEMORIAL HOSPITAL,50,Dr. Benedicto O. Garcia,General,Level 1,9177051572,famh_guiuan@ya hoo.com/bgarcia_ 49@yahoo.com,N/A,,,FELIPE ABRIGO MEMORIAL HOSPITAL
284,EASTERN VISAYAS,EASTERN SAMAR,,"Real St., Songco, Borongan, Eastern Samar",GOVT,Province,EASTERN SAMAR PROVINCIAL HOSPITAL,100,Dr. Jessica B. Sabalberino,General,Level 2,055-5609867,esph- esamar@yahoo.c om,,,,EASTERN SAMAR PROVINCIAL HOSPITAL
285,EASTERN VISAYAS,NORTHERN SAMAR,,"Hospital Drive, Kinabranan Zone II, Allen, Northern Samar",GOVT,LGU,ALLEN DISTRICT HOSPITAL,50,Dr. Timoteo T. Lao,General,Level 1,"500-9694 / 0947
697 6481","adhallen61@gmail
.com",N/A,,,ALLEN DISTRICT HOSPITAL
286,EASTERN VISAYAS,NORTHERN SAMAR,,"Balite St., Brgy. Acacia, Catarman, Northern Samar",GOVT,LGU,NORTHERN SAMAR PROVINCIAL HOSPITAL,100,"Dr. Joseph A. Estanislao, MBAH",General,Level 1,"09276432625 /
0995 436 8712",nsph_1956@yaho o.com,N/A,,,NORTHERN SAMAR PROVINCIAL HOSPITAL
287,EASTERN VISAYAS,BILIRAN,,"Castin St., Brgy. P.I. Garcia, Naval, Biliran",GOVT,LGU,BILIRAN PROVINCIAL HOSPITAL,75,Dr. Joyce P. Caneja,General,Level 1,"(053) 507-9134 /
9173085299",bph.lar@gmail.co m,N/A,,,BILIRAN PROVINCIAL HOSPITAL
288,ZAMBOANGA PENINSULA,ZAMBOANGA SIBUGAY,,"Sanito, Ipil, Zamboanga Sibugay",GOVT,LGU,ZAMBOANGA  SIBUGAY PROVINCIAL HOSPITAL,25,"Dr. Sherwin F. Bastero, MPH-OIC",General,Level 1,,,,,,ZAMBOANGA  SIBUGAY PROVINCIAL HOSPITAL
289,ZAMBOANGA PENINSULA,ZAMBOANGA DEL NORTE,,Sindangan,GOVT,LGU,SINDANGAN DISTRICT HOSPITAL,50,Dr. Marcelito L. Lacaya,General,Level 1,"065-9185318 /
0942-8045567",,,,,SINDANGAN DISTRICT HOSPITAL
290,ZAMBOANGA PENINSULA,ZAMBOANGA DEL NORTE,Dapitan City,"Lawaan, Dapitan City, ZAMBOANGA DEL NORTE",GOVT,DOH-RET,DR. JOSE RIZAL MEMORIAL HOSPITAL,100,"Dr. Maria Dinna Viray- Parinas, MHA",General,Level 1,,,,,75-100,DR. JOSE RIZAL MEMORIAL HOSPITAL
291,ZAMBOANGA PENINSULA,ZAMBOANGA DEL NORTE,Dipolog City,"Dipolog City,, ZAMBOANGA DEL NORTE",GOVT,LGU,CORAZON C. AQUINO MEMORIAL HOSPITAL,50,Dr. Jessie D. Tiu,General,Level 1,,,,,,CORAZON C. AQUINO MEMORIAL HOSPITAL
292,ZAMBOANGA PENINSULA,ZAMBOANGA DEL NORTE,Dipolog City,"Barangay Sicayab, Dipolog City",GOVT,Province,ZAMBOANGA DEL NORTE MEDICAL CENTER,146,Dr. Esmeralda A. Nadela,General,Level 2,065-2124120,zanortemed@gma il.com,,,,ZAMBOANGA DEL NORTE MEDICAL CENTER
293,ZAMBOANGA PENINSULA,ZAMBOANGA DEL SUR,,"Poblacion, Margosatubig, Zambo. del Sur",GOVT,DOH-RET,MARGOSATUBIG REGIONAL HOSPITAL,100,"Dr. Richard B. Sison, MHA",General,Level 1,,,,,,MARGOSATUBIG REGIONAL HOSPITAL
308,NORTHERN MINDANAO,MISAMIS OCCIDENTAL,,"Purok 4 Bunawan, Calamba, Misamis Occidental",GOVT,Province,CALAMBA DISTRICT HOSPITAL,50,"Dr. Vernon I. Nery, Jr.",General,Level 1,"(088)564-0397 /
586-0936 / 586-
0937",yahoo.com / calambadistrict@ gmail.com,"(088)271-
3634",,,CALAMBA DISTRICT HOSPITAL
309,NORTHERN MINDANAO,MISAMIS OCCIDENTAL,Tangub City,"Fertig St., Mantic, Tangub City, Misamis Occidental",GOVT,Province,DOÑA MARIA D. TAN MEMORIAL HOSPITAL,50,Dr. Janice Castolo Biete,General,Level 1,"(088)545-0172 /
545-0415",dmdtmh_mantic@ yahoo.com,"(088)545-
0172",,,DOÑA MARIA D. TAN MEMORIAL HOSPITAL
310,NORTHERN MINDANAO,MISAMIS OCCIDENTAL,Ozamiz City,"Maningcol, Ozamiz City",GOVT,DOH Ret.,"MAYOR HILARION A. RAMIRO SR.
MEDICAL CENTER (formerly Mayor Hilarion A. Ramiro Sr. Regional Training and Teaching Hospital)",150,Dr. Jesus Martin S. Sanciangco Iii,General,Level 2,088-5210440,"mharsrtth@yahoo
.com",,,changed name 2021,"MAYOR HILARION A. RAMIRO SR.
MEDICAL CENTER (formerly Mayor Hilarion A. Ramiro Sr. Regional Training and Teaching Hospital)"
311,NORTHERN MINDANAO,MISAMIS OCCIDENTAL,Oroquieta City,"Independence St., Lower Langcangan, Oroquieta City,Misamis Occidental",GOVT,Province,MISAMIS OCCIDENTAL PROVINCIAL HOSPITAL,159,Dr. Benecio L. Adona,General,Level 2,"088-
5311529/5312242-
45/2243/2244",moph_misamisoc cidental@ymail.co m,,,,MISAMIS OCCIDENTAL PROVINCIAL HOSPITAL
312,NORTHERN MINDANAO,BUKIDNON,,"CM Recto St., Kibawe, Bukidnon",GOVT,Province,BUKIDNON PROVINCIAL HOSPITAL - KIBAWE,100,Dr. Antonio R. Tubog,General,Level 1,(088)357-1023,bphkibawe@yaho o.com,"(088)357-
1022",9261619655,25 - 100,BUKIDNON PROVINCIAL HOSPITAL - KIBAWE
313,NORTHERN MINDANAO,BUKIDNON,,"San Miguel, Manolo Fortich, Bukidnon",GOVT,Province,BUKIDNON PROVINCIAL HOSPITAL - MANOLO FORTICH,68,Dr. Gina G. Factura,General,Level 1,-,bph_manolo@hot mail.ph,,,24 - 68,BUKIDNON PROVINCIAL HOSPITAL - MANOLO FORTICH
314,NORTHERN MINDANAO,BUKIDNON,,"Maramag, Bukidnon",GOVT,Province,BUKIDNON PROVINCIAL HOSPITAL-MARAMAG,130,Dr. Edmundo G. Garcia,General,Level 2,088-8281962,ahoo.com/bphmar amag2@gmail.co m,,"09177190856/09778
249713/0965261959
9",,BUKIDNON PROVINCIAL HOSPITAL-MARAMAG
315,NORTHERN MINDANAO,BUKIDNON,Malaybalay City,"Casisang, Malaybalay City, Bukidnon",GOVT,Province,BUKIDNON PROVINCIAL MEDICAL CENTER-MALAYBALAY CITY,150,Dr. Miguel Antonio C. Prantilla,General,Level 2,,bpmc.malaybalay @yahoo.com,,,,BUKIDNON PROVINCIAL MEDICAL CENTER-MALAYBALAY CITY
316,NORTHERN MINDANAO,LANAO DEL NORTE,,"Austin Heights, Kolambugan, Lanao del Norte",GOVT,Province,KOLAMBUGAN PROVINCIAL HOSPITAL,75,Dr. Demetrio U. Opamen Jr.,General,Level 1,(063)227-5001,"m / gicosf766@yahoo
.com",,,,KOLAMBUGAN PROVINCIAL HOSPITAL
317,NORTHERN MINDANAO,LANAO DEL NORTE,,"Maranding Annex, Kapatagan, Lanao del Norte",GOVT,Province,KAPATAGAN PROVINCIAL HOSPITAL,100,Dr. Remedios B. Fernandez,General,Level 1,"(063)221-9011 /
(063)227-9522","kapataganprovinc ialhospital@gmail
.com",,,,KAPATAGAN PROVINCIAL HOSPITAL
318,NORTHERN MINDANAO,LANAO DEL NORTE,,"Lower Sagadan, Baroy, Lanao del Norte",GOVT,Province,LANAO DEL NORTE PROVINCIAL HOSPITAL,100,Dr. Shoraynah Ali Tucal,General,Level 1,(063)373-6392,lnph2018@gmail.c om,,,,LANAO DEL NORTE PROVINCIAL HOSPITAL
319,NORTHERN MINDANAO,LANAO DEL NORTE,Iligan City,"Iligan City,Lanao del Norte",GOVT,LGU,GREGORIO T. LLUCH MEMORIAL HOSPITAL,119,Dr. Eflieda C. Valdehueza,General,Level 2,"063-
2212536/2216775",gtlmh@ymail.com,"063-
2212536",,,GREGORIO T. LLUCH MEMORIAL HOSPITAL
320,NORTHERN MINDANAO,CAMIGUIN,,"Lakas, Mambajao, Camiguin",GOVT,Province,CAMIGUIN GENERAL HOSPITAL,100,Dr. Gretchen L. Cabalang-OIC,General,Level 1,"(088)387-0535 /
(088)387-1216",yahoo.com / camgenhospital@ gmail.com,"(088)387-
1216",,,CAMIGUIN GENERAL HOSPITAL
321,NORTHERN MINDANAO,LANAO DEL SUR,Marawi City,"Barangay Datu Saber, 9700 Marawi City, Lanao del Sur",GOVT,DOH-RET,AMAI PAKPAK MEDICAL CENTER,438,Dr. Shalimar S. Rakiin,General,Level 3,"063-8760001/063-
8760093",apmc_marawi@ya hoo.com,"091893215
20","09176322086/09399
192523/0917899064
0",,AMAI PAKPAK MEDICAL CENTER
322,DAVAO,DAVAO DEL NORTE,,"Quezon St. Maniki Kapalong, Dvo. Norte",GOVT,LGU,DAVAO DEL NORTE HOSPITAL (KAPALONG  ZONE),25,Dr. Jessie T. Belga,General,Level 1,084-371-0468,kapalongdistricth ospital@yahoo.co m,,,,DAVAO DEL NORTE HOSPITAL (KAPALONG  ZONE)
323,DAVAO,DAVAO DEL NORTE,,"Brgy. Ising, Carmen, Davao Norte",GOVT,LGU,DAVAO DEL NORTE HOSPITAL- CARMEN,25,Dr. Juri B. Miyake,General,Level 1,084-628-6592,ddnhospcz@yaho o.com,,,,DAVAO DEL NORTE HOSPITAL- CARMEN
324,DAVAO,DAVAO DEL NORTE,,"Datu Taganiog St., Peñaplata, IGACOS",GOVT,LGU,DAVAO DEL NORTE HOSPITAL- (ISLAND GARDEN CITY OF SAMAL ZONE),50,Dr. Catherine  R. Mancio-Valera,General,Level 1,084-286-0120,"crmvalera@yahoo
.com",,,20-50,DAVAO DEL NORTE HOSPITAL- (ISLAND GARDEN CITY OF SAMAL ZONE)
325,DAVAO,DAVAO DEL NORTE,Tagum City,"Apokon, Tagum City, Davao del Norte",GOVT,DOH-RET,DAVAO REGIONAL MEDICAL CENTER,600,Dr. Bryan O. Dalid,General,Level 3,084-2169157,mcc@drmc.doh.g ov.ph,,"09952211400/09293
554566/0955980176
1",,DAVAO REGIONAL MEDICAL CENTER
326,DAVAO,DAVAO DEL SUR,Davao City,"J.P. Laurel Avenue, Bajada, Davao City, Davao del sur",GOVT,DOH-RET,SOUTHERN PHILIPPINES MEDICAL CENTER,1200,Dr. Ricardo B. Audan- OIC,General,Level 3,"082-
2272731/2263540",davaomental_hos pital@yahoo.com,2217029,,,SOUTHERN PHILIPPINES MEDICAL CENTER
327,DAVAO,DAVAO DEL SUR,Digos City,"Lapu-Lapu St., Digos City, Davao del Sur",GOVT,LGU,DAVAO DEL SUR PROVINCIAL HOSPITAL,100,Dr. Bonifacio K. Vosotros,General,Level 2,082-2376128,"wca.bismanos@y ahoo.com/dsph_c oh@yahoo.com/w ca_bismanos@ya
hoo.com",,,,DAVAO DEL SUR PROVINCIAL HOSPITAL
328,DAVAO,DAVAO OCCIDENTAL,,"National Highway, Malita, Dvo Occidental",GOVT,LGU,MALITA DISTRICT HOSPITAL,18,Dr. Alain O. Kintanar,General,Level 1,,,,,,MALITA DISTRICT HOSPITAL
329,DAVAO,DAVAO ORIENTAL,City of Mati,"City of Mati, Davao Oriental",GOVT,LGU,DAVAO ORIENTAL PROVINCIAL MEDICAL CENTER,100,Dr. Reden V. Bersaldo,General,Level 2,087-3884173,dopmcmati1971@ gmail.com,,,,DAVAO ORIENTAL PROVINCIAL MEDICAL CENTER
330,DAVAO,DAVAO DE ORO,,"Talisay St., Pob. Maragusan, Davao de Oro",GOVT,LGU,DAVAO DE ORO PROVINCIAL HOSPITAL -MARAGUSAN (formerly COMPOSTELA VALLEY PROVINCIAL HOSPITAL - MARAGUSAN),10,Dr. Neil P. Estoya,General,Level 1,,,,9058689598,Change name,DAVAO DE ORO PROVINCIAL HOSPITAL -MARAGUSAN (formerly COMPOSTELA VALLEY PROVINCIAL HOSPITAL - MARAGUSAN)
331,DAVAO,DAVAO DE ORO,,"Km. 104 Bankerohan Sur, Montevista, Davao de Oro",GOVT,LGU,"HOSPITAL - MONTEVISTA
(formerly COMPOSTELA VALLEY PROVINCIAL HOSPITAL - MONTEVISTA)",25,Dr. Eunice B. Manansala,General,Level 1,,"cvphcvph@yahoo
.com",,,Change name,"HOSPITAL - MONTEVISTA
(formerly COMPOSTELA VALLEY PROVINCIAL HOSPITAL - MONTEVISTA)"
332,DAVAO,DAVAO DE ORO,,"Purok 4, Pob. Laak, Davao del Oro",GOVT,LGU,"DAVAO DE ORO PROVINCIAL
HOSPITAL-LAAK (formerly COMPOSTELA VALLEY PROVINCIAL HOSPITAL - LAAK)",10,Dr. Jose Martin D. Briones,General,Level 1,,peemo_cvphlaak @yahoo.com,,,Change name,"DAVAO DE ORO PROVINCIAL
HOSPITAL-LAAK (formerly COMPOSTELA VALLEY PROVINCIAL HOSPITAL - LAAK)"
333,DAVAO,DAVAO DE ORO,,"Townsite Pantukan, Davao de Oro",GOVT,LGU,"DAVAO DE ORO PROVINCIAL
HOSPITAL - PANTUKAN (formerly COMPOSTELA VALLEY PROVINCIAL  HOSPITAL - PANTUKAN)",32,Dr. Ma. Grace C. Lim,General,Level 1,084-372-0335,pdhcvph@yahoo. com.ph,,,Change name,"DAVAO DE ORO PROVINCIAL
HOSPITAL - PANTUKAN (formerly COMPOSTELA VALLEY PROVINCIAL  HOSPITAL - PANTUKAN)"
334,SOCCSKSARGEN,,Cotabato City,"Sinsuat Avenue, Cotabato City",GOVT,DOH-RET,COTABATO REGIONAL AND MEDICAL CENTER,375,Dr. Helen P. Yambao,General,Level 3,064-4212192,crmc_12@yahoo.c om,4212192,,,COTABATO REGIONAL AND MEDICAL CENTER
335,SOCCSKSARGEN,SOUTH COTABATO,,"M. Roxas St., Corner Boston St.,Poblacion, Norala, South Cotabato",GOVT,Municipal,NORALA DISTRICT HOSPITAL,40,"Dr. Mila G. Quinton, MHA",General,Level 1,"083-234-1009 /
083-234-1010",noraladist@gmail. com,,,,NORALA DISTRICT HOSPITAL
336,SOCCSKSARGEN,SOUTH COTABATO,Koronadal City,"Koronadal City, South Cotabato",GOVT,LGU,SOUTH COTABATO PROVINCIAL HOSPITAL,200,Dr. Conrado M. Brana,General,Level 2,"083-
2288787/2283506",scp69@gmail.com,,,,SOUTH COTABATO PROVINCIAL HOSPITAL
337,SOCCSKSARGEN,SOUTH COTABATO,General Santos City,"E. Fernandez St., Lagao, Gen. Santos City",GOVT,CITY,DR.GEORGE P. ROYECA HOSPITAL,100,"Dr. Ryan Oscar M. Aplicador, FPCS, FPSGS, FPALES",General,Level 1,(083) 552-4808,gschospital@gma il.com,,,,DR.GEORGE P. ROYECA HOSPITAL
338,SOCCSKSARGEN,SARANGANI,,"Datu Dani St., Kiamba, Sarangani",GOVT,Province,"DR. CORNELIO T. MARTINEZ, SR. MEMORIAL HOSPITAL",50,Dr. Gabriel Fernandez,General,Level 1,(083) 893-4142,kdh_kiamba@yah oo.com,,,,"DR. CORNELIO T. MARTINEZ, SR. MEMORIAL HOSPITAL"
339,SOCCSKSARGEN,SARANGANI,,"Purok Maliwanag, Poblacion, Malungon, Sarangani, Province",GOVT,Province,HOSPITAL - MALUNGON (formerly MALUNGON MUNICIPAL HOSPITAL),25,"Dr. Allen Geoffrey G. Española, MAHA",General,Level 1,"083-826-0379 /
09457148902",malungonmunicip al_hospital@yaho o.com.ph,,,Change name/ Infirmary to Level 1,HOSPITAL - MALUNGON (formerly MALUNGON MUNICIPAL HOSPITAL)
340,SOCCSKSARGEN,SARANGANI,,"D. Cania St., Poblacion, Glan, Sarangani Province",GOVT,Province,"SARANGANI MUNICIPAL
HOSPITAL - GLAN (formerly GLAN MEDICARE COMMUNITY HOSPITAL)",30,"Dr. Eden Rose P. Malanao, MSPH-HA, DM",General,Level 1,"083-8930034 / 56;
083-262-1065","gmch2009@yahoo
.com",,,Change name/ Infirmary to Level 1,"SARANGANI MUNICIPAL
HOSPITAL - GLAN (formerly GLAN MEDICARE COMMUNITY HOSPITAL)"
341,SOCCSKSARGEN,NORTH COTABATO,,"Dualing, Aleosan, Cotabato",GOVT,Municipal,ALEOSAN DISTRICT HOSPITAL,25,"Dr. Marie Jane G. Apusaga, MBA-HA",General,Level 1,,aleosandistrict_h ospital@yahoo.co m.ph,,9219637979,,ALEOSAN DISTRICT HOSPITAL
