REGION,PROVINCE,MUNICIPALITY / CITY,NAME OF FACILITY,OWNERSHIP (PUBLIC / PRIVATE),TYPE OF TESTING,LICENSE VALIDITY
Region 4A,Laguna,City of Biñan,RTSD - Biñan Molecular Diagnostic Laboratory,PRIVATE,Cartridge - Based PCR,12/31/22
Region 4B,Palawan,Puerto Princesa City,Ospital ng Palawan,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 4B,Oriental Mindoro,Calapan City,Oriental Mindoro Provincial Hospital,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 4B,Palawan,Municipality of Culion,Culion Sanitarium and General Hospital,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 4B,Oriental Mindoro,Municipality of Puerto Galera,"Puerto Galera Molecular Laboratory (Formerly Best Care Medical Clinic & Diagnostic Center, Inc.)",PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 4B,Occidental Mindoro,Municipality of Mamburao,Occidental Mindoro Provincial Hospital,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 4B,Palawan,Puerto Princesa City,Puerto Princesa City Molecular Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 4B,Palawan,Puerto Princesa City,PHO - Molecular Biology Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 4B,Marinduque,Municipality of Boac,Marinduque Provincial Hospital,PUBLIC,Cartridge - Based PCR,12/31/22
Region 4B,Oriental Mindoro,Calapan City,Maria Estella General Hospital,PRIVATE,Cartridge - Based PCR,12/31/22
Region 5,Albay,Legazpi City,Bicol Regional Diagnostic and Reference Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 5,Camarines Sur,Naga City,Bicol Medical Center,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 5,Sorsogon,Sorsogon City,Metro Health Specialist Hospital,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 5,Camarines Sur,Municipality of Cabusao,Bicol Region General Hospital and Geriatric Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 5,Camarines Sur,Naga City,Naga City Hospital Molecular Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 5,Camarines Sur,Naga City,Bicol Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 5,Albay,Legazpi City,BRTTH Covid-19 Testing Laboratoy,PUBLIC,rRT PCR,12/31/22
Region 5,Camarines Sur,Municipality of Bula,Camsur Diagnostic Laboratory,PUBLIC,rRT PCR,12/31/22
Region 5,Sorsogon,Sorsogon City,Sorsogon Medical Mission Group Hospital and Health Services Cooperative,PRIVATE,rRT PCR,12/31/22
Region 5,Camarines Sur,Municipality of Libmana,JTRBicol Molecular Diagnostic Laboratory,PRIVATE,Cartridge - Based PCR,02/16/22 - 12/31/22
Region 6,Iloilo,Iloilo City,Western Visayas Medical Center (WVMC),PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 6,Negros Occidental,Silay City,Teresita Jalandoni Provincial Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 6,Iloilo,Iloilo City,Qualimed Health Network - Iloilo,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 6,Negros Occidental,Bacolod City,Corazon Locsin Montelibano Memorial Regional Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 6,Negros Occidental,Bacolod City,Bacolod Queen of Mercy Hospital,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 6,Negros Occidental,Bacolod City,"The Doctors Hospital, Inc.",PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 6,Negros Occidental,Bacolod City,PRC - Negros Occidental Molecular Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 6,Aklan,Municipality of Kalibo,Dr. Rafael S. Tumbokon Memorial Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 6,Iloilo,Iloilo City,Metro Iloilo Hospital and Medical Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 6,Capiz,Roxas City,Roxas City Diagnostic and Laboratory Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 6,Iloilo,Iloilo City,Uswag Iloilo City Molecular Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 6,Capiz,Roxas City,Roxas Memorial Provincial Hospital Molecular Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 6,Iloilo,Iloilo City,Western Visayas State University - Molecular Diagnostic Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 6,Negros Occidental,Bacolod City,Dr. Pablo O. Torre Memorial Hospital,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 6,Iloilo,Municipality of Pototan,Iloilo Provincial Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 6,Iloilo,Passi City,Philippine Red Cross Passi City Molecular Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 6,Negros Occidental,Municipality of Villadolid,"Safeguard DNA Diagnostics, Inc.",PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 6,Antique,Municipality of San Jose,Antique Bio-Molecular Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 6,Aklan,Municipality Malay,Next Gen PCR Diagnostic Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 6,Aklan,Municipality Malay,Next Gen PCR Diagnostic Laboratory,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 6,Iloilo,Iloilo City,The Medical City - Iloilo,PRIVATE,rRT PCR,12/31/22
Region 7,Cebu,Lapu Lapu City,Allegiant Regional Care Hospital,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 7,Cebu,Lapu Lapu City,Allegiant Regional Care Hospital,PRIVATE,Cartridge - Based PCR,01/11/22 - 12/31/22
Region 7,Cebu,Cebu City,Vicente Sotto Memorial Medical Center (VSMMC),PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 7,Cebu,Lapu Lapu City,Prime Care Alpha Covid-19 Testing Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 7,Cebu,Mandaue City,Philippine Red Cross Cebu Molecular Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 7,Cebu,Mandaue City,University of Cebu Medical Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 7,Cebu,Cebu City,"Cebu Doctors University Hospital, Inc.",PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 7,Bohol,Tagbilaran City,Governor Celestino Gallares Memorial Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 7,Cebu,Cebu City,Chong Hua Hospital,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 7,Bohol,Tagbilaran City,Bohol Containerized PCR Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 7,Cebu,Cebu City,Cebu TB Reference Laboratory,PUBLIC,rRT PCR,01/01/22 - 06/30/22
Region 7,Cebu,Cebu City,Cebu TB Reference Laboratory,PUBLIC,Cartridge - Based PCR,01/01/22 - 06/30/22
Region 7,Negros Oriental,Dumaguete City,Negros Oriental Provincial Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 7,Cebu,Cebu City,"Perpetual Succour Hospital of Cebu, Inc.",PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 7,Cebu,Cebu City,"BioPath Clinical Diagnostic, Inc. - AFRIMS",PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 7,Cebu,Cebu City,"BioPath Clinical Diagnostic, Inc. - AFRIMS PCR laboratory",PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 7,Cebu,Cebu City,RHS 7 Molecular Laboratory (PNP),PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 7,Cebu,Cebu City,"Perpetual Succour Hospital of Cebu, Inc.",PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 7,Cebu,Cebu City,Chong Hua Hospital,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 7,Cebu,Cebu City,"Cebu Doctors University Hospital, Inc.",PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 7,Cebu,Dumaguete City,"Silliman University Medical Center Foundation, Inc.",PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 8,Leyte,Tacloban City,Divine Word Hospital Viralogy Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 8,Leyte,Tacloban City,Eastern Visayas Regional Covid-19 Testing Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 8,Leyte,Ormoc City,OSPA - Farmers' Medical Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 8,Leyte,Maasin City,Salvacion Oppus Yniguez Memorial Provincial Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 9,Zamboanga del Sur,Zamboanga City,Zamboanga City Medical Center-Department of Agriculture Satellite Laboratory for COVID-19 Testing,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 9,Zamboanga del Sur,Zamboanga City,Zamboanga City Medical Center,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 9,Zamboanga del Sur,Zamboanga City,Ciudad Medical Zamboanga,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 9,Zamboanga del Sur,Zamboanga City,Philippine Red Cross - Molecular Biology Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 9,Zamboanga del Sur,Pagadian City,Zamboanga Del Sur Medical Center PCR Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 9,Zamboanga del Sur,Zamboanga City,West Metro Medical Center,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 9,Zamboanaga del Norte,Municipality of Roxas,Zamboanga del Norte Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 9,Zamboanaga del Norte,Dapitan City,Dr. Jose Rizal Memorial Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 9,Zamboanga del Sur,Zamboanga City,City Government of Zamboanga Molecular Testing Center for Covid-19,PUBLIC,rRT PCR,12/31/22
Region 10,Misamis Oriental,Cagayan De Oro City,Northern Mindanao Medical Center Molecular Laboratory,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 10,Misamis Oriental,Cagayan De Oro City,Northern MIndanao Medical Center Satellite Covid-19 Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 10,Misamis Oriental,Cagayan De Oro City,"Polymedic Medical Plaza, Inc.",PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 10,Misamis Oriental,Cagayan De Oro City,Maria Reyna Xavier University Hospital,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 10,Lanao Del Norte,Municipality of Kapatagan,Lanao Del Norte Covid-19 Testing Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 10,Misamis Oriental,Cagayan De Oro City,Philippine Red Cross - Cagayan De Oro,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 10,Misamis Oriental,Cagayan De Oro City,Northern Mindanao Medical Center Molecular Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 10,Misamis Occidental,Ozamis City,Mayor Hilarion A. Ramiro Sr. Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 10,Misamis Occidental,Ozamis City,Mayor Hilarion A. Ramiro Sr. Medical Center,PUBLIC,Cartridge - Based PCR,12/31/22
Region 10,Misamis Occidental,Oroquieta City,Misamis Occidental RT-PCR Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 10,Lanao Del Norte,Iligan City,Gregorio T. Lluch Memorial Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 10,Bukidnon,Malaybalay City,Bukidnon Provincial Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 11,Davao Del Sur,Davao City,Southern Philippines Medical Center (SPMC),PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 11,Davao Del Sur,Davao City,Davao One World Diagnostic Center Incorporated,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 11,Davao Del Norte,Tagum City,Davao Regional Medical Center,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 11,Davao Del Sur,Davao City,Davao Doctors Hospital,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 11,Davao Del Sur,Davao City,Southern Philippines Medical Center (SPMC-SNL-MBL),PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 11,Davao Del Sur,Davao City,Davao International Airport Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 11,Davao Del Sur,Davao City,PRO 11 RT-PCR Molecular Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 11,Davao Del Norte,Tagum City,Davao Regional Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 11,Davao De Oro,Municipality of Montevista,Davao de Oro Provincial Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 11,Davao Del Sur,Davao City,Vitalab Molecular Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 11,Davao Del Sur,Davao City,"Safeguard DNA Diagnostics, Inc.",PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 11,Davao Del Sur,Davao City,Los Amigos Davao Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 11,Davao De Oro,Municipality of Maco,APEX Mining CO. Inc,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 11,Davao Del Sur,Davao City,"Brokenshire Integrated Health Ministries, INC",PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 12,Cotabato,Cotabato City,Cotabato Regional and Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 12,Cotabato,Cotabato City,Cotabato Regional and Medical Center,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 12,South Cotabato,Koronadal City,Dr. Arturo Pingoy Medical Center,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 12,South Cotabato,General Santos City,St. Elizabeth Hospital,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 12,South Cotabato,General Santos City,Dr. Jorge P. Royeca Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 12,Sultan Kudarat,Tacurong City,St. Louis Molecular Diagnostic Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 12,Sultan Kudarat,Tacurong City,Tomboc-Salayog Hospital,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 12,Cotabato,Municipality of M'lang,Mlang District Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 12,North Cotabato,Kidapawan City,Kidapawan City Molecular Laboratory,PUBLIC,rRT PCR,12/31/22
Region 12,North Cotabato,Kidapawan City,Excellab Diagnostic Center,PRIVATE,rRT PCR,12/31/22
CARAGA,Agusan Del Norte,Butuan City,Butuan Medical Center,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
CARAGA,Agusan Del Norte,Butuan City,Butuan Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
CARAGA,Agusan Del Norte,Butuan City,Manuel J. Santos Hospital,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
CARAGA,Surigao Del Norte,Surigao City,CARAGA Regional Hospital,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
CARAGA,Surigao Del Norte,Surigao City,Philippine Red Cross Molecular Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
CARAGA,Agusan Del Sur,Municipality of Prosperidad,Democrito O. Plaza Memorial Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
CARAGA,Surigao Del Sur,Tandag City,Adela Serra TY Memorial Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
CAR,Benguet,Baguio City,Baguio General Hospital Medical Center (BGHMC),PUBLIC,rRT PCR,01/01/22 - 12/31/22
CAR,Benguet,Baguio City,Parkway Medical and Diagnostic Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
CAR,Mountain Province,Municipality of Bauko,Luis Hora Memorial Regional Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
CAR,Benguet,Municipality of La Trinidad,Benguet General Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
CAR,Calinga,Tabuk City,Tabuk City Covid-19 RT-PCR Testing Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
CAR,Benguet,Baguio City,Notre Dame De Chartres Hospital,PRIVATE,rRT PCR,12/31/22
BARMM,Lanao Del Sur,Marawi City,Amai Pakpak Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
BARMM,Lanao Del Sur,Marawi City,Amai Pakpak Medical Center,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
BARMM,Maguindanao,Cotabato City,Philippine Red Cross Cotabato City - Maguindanao Molecular Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
BARMM,Maguindanao,Municipality of Ampatuan,Maguindanao Provincial Hospital,PUBLIC,rRT PCR,12/31/22
