region,province,city,complete_address,owner_ship,name_of_clinic,no._of_station,head_of_the_facility,contact_number,e_mail_address,validity,remarks,mapping_address,lat,lng,current_distance,gmaps_url,index
CENTRAL LUZON,TARLAC,NaN,"Mc Arthur Highway, Brgy. Carino, Paniqui, Tarlac",PVT,"PANIQUI DIALYSIS CENTER
(new)",NaN,17,Dr. Rica Mari Katherina De Borja,9189648265,paniqui.dialysis@gmai l.com,"June 10, 2021 to
Dec. 31, 2023","Mc Arthur Highway, Brgy. Carino, Paniqui, Tarlac",15.6766228,120.5847377,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,118.0
CENTRAL LUZON,TARLAC,Tarlac City,"M.H. del Pilar St. cor, Zafiro St., Brgy.San Nicolas, Tarlac City",PVT,JMC DIALYSIS CENTER,NaN,8,Dr. Rika Marikatherina K. De Borja,045-9825501,NaN,"Jan. 1, 2021 to
Dec. 31, 2023","M.H. del Pilar St. cor, Zafiro St., Brgy.San Nicolas, Tarlac City",15.4940904,120.5965608,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,119.0
CENTRAL LUZON,TARLAC,Tarlac City,"JRT Bldg., M.H. Del Pilar cor. Hilario St., Ligtasan, Tarlac City, Tarlac",PVT,"MSR HEALTHCARE, INC.",NaN,12,"Dr. Lloyd Everett
R. Lim","09065444924/09
325749028/3092
533/",mcrhctarlacdialysis@g mail.com,"Jan. 1, 2021 to
Dec. 31, 2023","JRT Bldg., M.H. Del Pilar cor. Hilario St., Ligtasan, Tarlac City, Tarlac",15.4864031,120.5904573,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,120.0
CENTRAL LUZON,TARLAC,Tarlac City,"G/F Ramos General Hospital, P. Hilario St., Ligtasan, Tarlac City",PVT,MULTISPECIALTY VENTURE OF TARLAC CORPORATION,NaN,12,"Dr. Monna Cleofas
V. Lucas","493-2565loc.
124/125",rghmuventa@gmail.co m,"Jan. 1, 2020 to
Dec. 31, 2022","G/F Ramos General Hospital, P. Hilario St., Ligtasan, Tarlac City",15.484983,120.5931144,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,121.0
CENTRAL LUZON,NUEVA ECIJA,NaN,"L. De Ocampo Street, Saranay District, Guimba, Nueva Ecija",PVT,BIOREGEN HEMO CENTER INC.,NaN,8,Dr. Manuel L. Galapon III,"09175591986/09
064842243/",sunshine@bioregeneu ro.com,"Jan. 4, 2021 to
Dec. 31, 2023","L. De Ocampo Street, Saranay District, Guimba, Nueva Ecija",15.6588652,120.7653189,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,122.0
CENTRAL LUZON,NUEVA ECIJA,NaN,"Km 106 Maharlika Highway, Gomez, Sta. Rosa, Nueva Ecija",PVT,NORTH EAST DIALYSIS CENTER CORP.,NaN,18,Dr. Roland E. Valdez,"044-
3335579/090650
38888",NaN,"Jan. 1, 2021 to
Dec. 31, 2023","Km 106 Maharlika Highway, Gomez, Sta. Rosa, Nueva Ecija",15.4270042,120.9385999,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,123.0
CENTRAL LUZON,NUEVA ECIJA,NaN,"Market Road, Sampaloc, Talavera, Nueva Ecija",PVT,FIRST RENAL DIALYSIS CENTER CORP. (new),NaN,12,Dr. Jeffrey P. Mora,9165488886,firstrenaldialysistalave ra,"Feb. 17, 2021 to
Dec. 31, 2023","Market Road, Sampaloc, Talavera, Nueva Ecija",15.5838053,120.924897,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,124.0
CENTRAL LUZON,NUEVA ECIJA,NaN,"Purok 7 San Isidro, Zaragoza, Nueva Ecija",PVT,"NUEVA ECIJA RENAL CENTER - ZARAGOZA, INC.",NaN,24,Jovi Flauta,"0917-704-0085/
0917-105-1726",nerczaragozainc@gma il.com,"Jan. 3, 2022 to
Dec. 31, 2024","Purok 7 San Isidro, Zaragoza, Nueva Ecija",15.4391609,120.792458,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,125.0
CENTRAL LUZON,NUEVA ECIJA,Cabanatuan City,"ELJ, Maharlika Highway, Brgy.. Daan Sarili, Cabanatuan City Nueva Ecija",PVT,MSR HEALTH CARE INC.,NaN,27,Dr. Antoinette Limjoco,0906-544-4924,msrdialysis@gmail.co m,"Jan.1, 2022 to
Dec.31, 2024","ELJ, Maharlika Highway, Brgy.. Daan Sarili, Cabanatuan City Nueva Ecija",15.5044444,120.9744006,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,126.0
CENTRAL LUZON,NUEVA ECIJA,Cabanatuan City,"WLC Bldg., Circumferential Rd., Brgy. San Juan Accfa, Cabanatuan City",PVT,"SAINT MARY KIDNEY CARE, INC.",NaN,10,Dr. Darwin C. Darjuan,0963-442-8123,saintmarykidneycarein c@gmail.com,"Jan. 1, 2020 to
Dec. 31, 2022","WLC Bldg., Circumferential Rd., Brgy. San Juan Accfa, Cabanatuan City",15.4709511,120.9663673,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,127.0
CENTRAL LUZON,NUEVA ECIJA,Gapan City,"City Hall Compound, Brgy. Bayanihan, Gapan City, Nueva Ecija",PVT,NORTH EAST DIALYSIS CENTER CORP.,NaN,18,Dr. Jeffrey P. Mora,9953888853,nedc.gapacity@gmai.c om,"Aug. 10. 2020 to
Dec. 31, 2022","City Hall Compound, Brgy. Bayanihan, Gapan City, Nueva Ecija",15.2929121,120.948172,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,129.0
CENTRAL LUZON,NUEVA ECIJA,"Mu�oz City, Nueva Ecija","Purok Cabiawan, Brgy. Rizal, Science City of Mu�oz, Nueva Ecija",PVT,"NUEVA ECIJA RENAL CENTER- SAN JOSE, INC.  (new)",NaN,10,Dr. Rachelle Coloma-Daus,NaN,NaN,"June 14, 2021 to
Dec. 31, 2023","Purok Cabiawan, Brgy. Rizal, Science City of Mu�oz, Nueva Ecija",15.7643634,120.9087389,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,130.0
CENTRAL LUZON,NUEVA ECIJA,Palayan City,"Aurora Road, Singalat, Palayan City Nueva Ecija",PVT,PALAYAN CITY DIALYSIS CENTER (new),NaN,7,DR. Yumi Czarina Ong Cruda,09178256025,pcdcNuevaecija@yaho o.com,"Oct. 28, 2021 to
Dec. 31, 2023","Aurora Road, Singalat, Palayan City Nueva Ecija",15.5558829,121.0960962,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,131.0
CENTRAL LUZON,NUEVA ECIJA,San Jose City,"3121 RMZ Building, Ramar Village, Malasin San Jose City, Nueva Ecija",PVT,NUEVA ECIJA RENAL CENTER - SAN JOSE INC.,NaN,30,Dr. Rachelle Coloma-Daus,"0917-704-0085/
0917-105-1726","nercsanjoseinc@gmail
.com","Jan, 3, 2022 to
Dec. 31, 2024","3121 RMZ Building, Ramar Village, Malasin San Jose City, Nueva Ecija",15.8073916,121.000537,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,132.0
CENTRAL LUZON,ZAMBALES,NaN,"Sta. Lucia Street South Poblacion Masinloc, Zambales",PVT,SOUTH POBLACION DIALYSIS CENTER  (new),NaN,6,Dr. Shalee M Santos,09292560246,masinlocdialysiscenter @gmail.com,"Jan. 4, 2021 to
Dec. 31, 2023","Sta. Lucia Street South Poblacion Masinloc, Zambales",15.5355996,119.9471837,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,133.0
CENTRAL LUZON,ZAMBALES,NaN,"6564 National Highway, Palanginan, Iba, Zambales",PVT,"ZAMBALES DIALYSIS AND KIDNEY CENTER, INC.",NaN,8,Dr. Olivia Roque Idio,047-6024640,zdkcidialysis@gmail.c om,"Jan. 1, 2021 to
Dec. 31, 2023","6564 National Highway, Palanginan, Iba, Zambales",14.9955148,120.1079172,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,134.0
CENTRAL LUZON,ZAMBALES,NaN,"Brgy. Patrocinio, San Narciso, Zambales",PVT,AVITUS KIDNEY CARE AND DIALYSIS CENTER CORPORATION,NaN,12,Dr. Maria Regina Gregorio,9175345111,avitusolongapo@yaho o.com,"Jan.1, 2022-
Dec.31, 2024","Brgy. Patrocinio, San Narciso, Zambales",15.0119737,120.0813779,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,135.0
CENTRAL LUZON,ZAMBALES,NaN,"National Highway, Biay, Sta. Cruz, Zambales",PVT,AVITUS KIDNEY CARE AND DIALYSIS CENTER CORP.,NaN,14,Dr. Shari Ann C. Atanacio,9175345111,avitusolongapo@yaho o.com,"Dec. 4, 2020 to
Dec. 31, 2022","National Highway, Biay, Sta. Cruz, Zambales",15.746878,119.9118896,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,136.0
CENTRAL LUZON,ZAMBALES,Olongapo City,"39 Lower Kalaklan, RH5 National Highway, Olongapo City, Zambales",PVT,AVITUS KIDNEY CARE AND DIALYSIS CENTER CORPORATION,NaN,20,Dr. Maria Regina Gergorio,9175065756,avitusolongapo@yaho o.com,"Jan. 1, 2020 to
Dec. 31, 2022","39 Lower Kalaklan, RH5 National Highway, Olongapo City, Zambales",14.835977,120.277945,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,137.0
CENTRAL LUZON,ZAMBALES,Olongapo City,"1759 Rizal Avenue, West Bajac-Bajac, Olongapo City, Zambales",PVT,AVITUS KIDNEY CARE AND DIALYSIS CENTER CORPORATION,NaN,30,Dr. Arnel S. Chua,"09176537821/04
7-6109351",avitusolongapo@yaho o.com,"Jan. 1, 2020 to
Dec. 31, 2022","1759 Rizal Avenue, West Bajac-Bajac, Olongapo City, Zambales",14.8386413,120.2836653,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,138.0
CENTRAL LUZON,ZAMBALES,Olongapo City,"#65 JM Bldg., 18th St., East Bajac-Bajac, Olongapo City, Zambales",PVT,"B. BRAUN AVITUM PHILIPPINES, INC.",NaN,15,Dr. Beverly C. Aguila,0917-5152631,onofre.lazaro@bbraun. com,"Jan. 1, 2021 to
Dec. 31, 2023","#65 JM Bldg., 18th St., East Bajac-Bajac, Olongapo City, Zambales",14.837059,120.2859825,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,139.0
CENTRAL LUZON,ZAMBALES,Olongapo City,"2 Afable St., cor. 18th St., East Bajac Bajac, Olongapo City,
Zambales",PVT,MED LINE DIALYSIS CENTER,NaN,7,"Dr. Ma. Lorelei Lucio-Tong. FPSN,
FPCP","09610811400/09
273226853",arcc.medlineolongapo @gmail.com,"Dec. 1, 2020 to
Dec. 31, 2022","2 Afable St., cor. 18th St., East Bajac Bajac, Olongapo City,
Zambales",14.8391206,120.285097,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,140.0
CENTRAL LUZON,ZAMBALES,Olongapo City,"No. 88 Gordon Ave., New Asinan,  Olongapo City, Zambales",PVT,"QUALITY RENAL CARE, INC.",12,Dr. Edision SA Gurerreo,"0229096/093991
786",qrci_1999@yahoo.com,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"No. 88 Gordon Ave., New Asinan,  Olongapo City, Zambales",14.829831,120.287181,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,141.0
CALABARZON,BATANGAS,NaN,"Lumbang Calzada, Calaca, Batangas",PVT,ST. RAFAEL DIALYSIS CENTER,12,"Dr. Maria Caridad
R. Pasno",0977-8262000,NaN,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"Lumbang Calzada, Calaca, Batangas",13.9295963,120.8226155,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,142.0
CALABARZON,BATANGAS,NaN,"Unit 1GF & Unit 1 2nd Floor, GGDC Bldg.
Poblacion, Ibaan, Batangas",PVT,"AIZ HEMODIALYSIS CENTER
INC.(new)",12,Dr. Arginino Romeo Dorado,0929-625544,donnatalactac.cds@gmail.com,"Jan. 12, 2021 to
Dec. 31, 2023",NaN,"Unit 1GF & Unit 1 2nd Floor, GGDC Bldg.
Poblacion, Ibaan, Batangas",12.6679167,123.9881642,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,143.0
CALABARZON,BATANGAS,NaN,"268 Santiago St., Poblacion, Ibaan, Batangas",PVT,"MARY MEDIATRIX MEDICAL CENTER, INC",11,Dr. Robert M. Magsino - Pres.,0917-1579537,admin@mmmc.ph,"July 15, 2020 to
Dec. 31, 2022",NaN,"268 Santiago St., Poblacion, Ibaan, Batangas",13.8152952,121.1313163,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,144.0
CALABARZON,BATANGAS,NaN,"Metro Rei Business Park, Brgy. Palindan, Ibaan, Batangas",PVT,SOUTHERN LUZON DIALYSIS CARE CENTER,8,Dr. Joengeles Montalbo- Genebago,0915-3895528,sldcci.ibaan@gmail.com,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"Metro Rei Business Park, Brgy. Palindan, Ibaan, Batangas",13.8344264,121.130137,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,145.0
CALABARZON,BATANGAS,NaN,"Xentro Mall Batangas, Calaca-Lemery Highway, Lemery, Batangas",PVT,"GLOBAL RELIANCE RENALCARE, INC.",12,Dr. Aljun M. Malambut,0917-5049205,rvmarcelo@healthfirst.com.ph,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"Xentro Mall Batangas, Calaca-Lemery Highway, Lemery, Batangas",13.9076068,120.8902488,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,146.0
CALABARZON,BATANGAS,NaN,"G/F APC Bldg., Jose P. Laurel Highway, Brgy. Poblacion, Malvar, Batangas",PVT,"AGE BRIDGE COR SUPPLY AND MEDICAL SERVICES, INC.",11,Dr. Rica Carpio,043-4063371,NaN,"Jan. 1, 2021 to
Dec. 31, 2023","inc. from 8-
11","G/F APC Bldg., Jose P. Laurel Highway, Brgy. Poblacion, Malvar, Batangas",14.0450713,121.158245,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,147.0
CALABARZON,BATANGAS,NaN,"262 J.P. Laurel St. corner Roxas St., Nasugbu, Batangas",PVT,UNIVERSE KIDNEY CARE CENTER,12,Dr. Bienvenido Manlutac,0906-0140471,NaN,"Sept. 14, 2020 to
Dec. 31, 2022",NaN,"262 J.P. Laurel St. corner Roxas St., Nasugbu, Batangas",14.0684311,120.6329425,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,148.0
CALABARZON,BATANGAS,NaN,"G/F Medical Experts Building,  Rosario Road, Brgy. San Roque, Rosario, Batangas",PVT,FRESENIUS KIDNEY CARE,14,Dr. Irene Castillo- Paler,043-7816509,carmela.dingding@fmc-asia.com,"Jan.1, 2022 to
Dec.31, 2024",renewal,"G/F Medical Experts Building,  Rosario Road, Brgy. San Roque, Rosario, Batangas",13.8519821,121.2038379,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,149.0
CALABARZON,BATANGAS,NaN,"2+A19nd Floor Sto. Rosario Hospital, V. Escano St. cor.G. Recto St., Poblacion C, Rosario, Batangas",PVT,"HEMOTEK RENAL CENTER, INC.",10,Dr. Kathleen Joy L. Flores,5361091,NaN,"Jan. 1, 2022 to
Dec. 31, 2024",renewal,"2+A19nd Floor Sto. Rosario Hospital, V. Escano St. cor.G. Recto St., Poblacion C, Rosario, Batangas",13.8457819,121.2034596,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,150.0
CALABARZON,BATANGAS,NaN,"Poblacion D, Rosario, Batangas",PVT,HOLISTIC DIALYSIS CENTER,20,Dr. Michelle Otayco,"09155926004/04
3-3211371 /",holisticdialysiscenter@yahoo.com,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"Poblacion D, Rosario, Batangas",13.8162016,121.2740813,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,152.0
CALABARZON,BATANGAS,NaN,"44 Brgy. Calicanto, San Juan, Batangas",PVT,"SAN JUAN NEPOMUCENO DIALYSIS CENTER, INC,",10,Dr. Joengelee Montalbo- Genebago,"043-5758890 /
0917-5747982",sjnepomucenodialysis@gmail.com,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"44 Brgy. Calicanto, San Juan, Batangas",13.7154422,121.4256183,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,153.0
CALABARZON,BATANGAS,NaN,"2nd Floor SMP Square Building, San Rafael, Maharlika Highway, Sto. Tomas, Batangas",PVT,FRESENIUS KIDNEY CARE,15,"Dr. Edgardo Faustino, FPCP, FACP, FPSN","02-8919575 loc.
2643",NaN,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"2nd Floor SMP Square Building, San Rafael, Maharlika Highway, Sto. Tomas, Batangas",14.1328309,121.1364853,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,154.0
CALABARZON,BATANGAS,Batangas City,"G/F MB Bldg., Gulod Labac, Batangas City, Batangas",PVT,BCDMS DIALYSIS CENTER,11,Dr. Aprille Kirsten Ilustre,043-7276097,cavitenoshey@yahoo.com,"Sept. 25, 2020 to
Dec. 31, 2022",NaN,"G/F MB Bldg., Gulod Labac, Batangas City, Batangas",13.76181,121.0714895,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,155.0
CALABARZON,BATANGAS,Batangas City,"2/F Batangas Healthcare Specialists Medical Center, Port Diversion Road, Brgy. Alangilan, Batangas City, Batangas",PVT,FRESENIUS KIDNEY CARE,12,Dr. Divina Cruz Ribas,"7275139 / 0917-
8066120 / 0917-
8648055",jen_reyes@fmc-asia.com/mu-mnt.batangas-c01@fmc-asia.com,"Jan.1, 2022 to
Dec.31, 2024",renewal,"2/F Batangas Healthcare Specialists Medical Center, Port Diversion Road, Brgy. Alangilan, Batangas City, Batangas",13.7876482,121.0602264,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,156.0
CALABARZON,BATANGAS,Batangas City,"Kumintang Ibaba, Batangas City, Batangas",PVT,MEDWAY DIALYSIS CENTER,10,Dr. Nickson E. Austria,0917-8070832,medwaybatangas@gmail.com,"Mar. 13, 2020 to
Dec. 31, 2022",NaN,"Kumintang Ibaba, Batangas City, Batangas",13.7659177,121.065041,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,157.0
CALABARZON,BATANGAS,Batangas City,"Urbano Mojares Jr. Bldg., National Highway, Alangilan, Batangas City",PVT,"NEPHROLOGY CENTER OF BATANGAS CITY, INC.",12,Dr. Catherine B. Bugayong,043-9845011,nephro.batangas@gmail.com,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"Urbano Mojares Jr. Bldg., National Highway, Alangilan, Batangas City",13.7676597,121.0632965,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,158.0
CALABARZON,BATANGAS,Batangas City,"3rd Floor Nuciti Central Mall, P. Burgos St., Batangas City, Batangas",PVT,"YOUNG HEALTH ENTERPRENEURS, INC. (new)",14,Dr. Aprille Kirsten Ilustre,0977-8100191,nephromedasiabatangas@gmail.com,"Jan. 4, 2021 to
Dec. 31, 2023",NaN,"3rd Floor Nuciti Central Mall, P. Burgos St., Batangas City, Batangas",13.7603076,121.0572038,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,159.0
CALABARZON,BATANGAS,Lipa City,"RCD Plaza, by-Pass Road, Balintawak, Lipa City, Batangas",PVT,"ESSENTIAL CARE DIALYSIS CENTER, INC.",11,Dr. Nickson E. Austria,0915-5926004,NaN,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"RCD Plaza, by-Pass Road, Balintawak, Lipa City, Batangas",13.9526301,121.1590218,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,160.0
CALABARZON,BATANGAS,Lipa City,"Jiao Medical Bldg., JP Laurel Highway, Brgy. Sico, Lipa City,
Batangas",PVT,FIDELIS DIALYSIS CARE,5,"Dr. Joengelee Montalbo-
Genebago","043-
9819983/706808
9/09212777133/0
9165897900/092
71336203",glasafin@gmial.com,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"Jiao Medical Bldg., JP Laurel Highway, Brgy. Sico, Lipa City,
Batangas",13.9451825,121.1312095,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,161.0
CALABARZON,BATANGAS,Lipa City,"Romleon Bldg., Ayala Highway, Brgy.
Balintawak, Lipa City, Batangas",PVT,"HEALTH DELIVERY SYSTEM, INC.",11,Dr. Jose P. Ty,043-4049226,NaN,"Jan. 1, 2021 to
Dec. 31, 2023",decrease from 15-11,"Romleon Bldg., Ayala Highway, Brgy.
Balintawak, Lipa City, Batangas",13.9529616,121.162892,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,163.0
CALABARZON,BATANGAS,Lipa City,"Phoenix Station, JM Katigbak St., Mataas na Lupa, Lipa City, Batangas",PVT,LIPA SPECIALIST GROUP,16,Dr. Georgette Lee,0977-8100191,nephromedasialipa@gmail.com,"Sept. 14, 2020 to
Dec. 31, 2022",NaN,"Phoenix Station, JM Katigbak St., Mataas na Lupa, Lipa City, Batangas",13.9403204,121.1495604,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,164.0
CALABARZON,BATANGAS,Tanauan City,"Sicto Castillo St., Brgy. 2, Tanauan City, Batangas",PVT,"ROTARY CLUB OF TANAUAN BATANGAS, INC.",8,"Dr, Norman C. Constantino","043-7786172 /
0920-9616182",NaN,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"Sicto Castillo St., Brgy. 2, Tanauan City, Batangas",14.1404204,121.0903552,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,165.0
CALABARZON,CAVITE,NaN,"Unit 8, 88 Building, Governor's Drive, Brgy. Maduya, Carmona, Cavite",PVT,"CARMONA DIALYSIS SYSTEM, INC.",14,Dr. Rene V. Baltazar,"046-9722917/046-
4332939 / 0975-
2531783/0929-
8478250",carmonadialysis.system@gmail.com,"Jan. 1, 2022 to
Dec. 31, 2024","inc. frm 8-
14","Unit 8, 88 Building, Governor's Drive, Brgy. Maduya, Carmona, Cavite",14.3181398,121.0605361,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,166.0
CALABARZON,CAVITE,NaN,"G/F Angeles Bldg., Brgy.
J. Lumbreras, Congressional Road, General Mariano Alvarez, Cavite",PVT,MEDLINE DIALYSIS CENTER,5,Dr. Marilyn Vinluan- Olveda,046-4431319,reiwamedic.ops@gmail.com,"Oct. 30, 2020 to
Dec. 31, 2022",NaN,"G/F Angeles Bldg., Brgy.
J. Lumbreras, Congressional Road, General Mariano Alvarez, Cavite",14.2906425,121.004056,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,167.0
CALABARZON,CAVITE,NaN,"G/F Units 10 & 11 Robertsons Plaza, Brgy. Tabon, Centennial Road, Kawit, Cavite",PVT,"GLOBAL RELIANCE RENAL CARE, INC.",13,Dr. Sheena Ann Manalili-Diloy,0917-5049205,"rvmascalo@healthfirst
.com.ph","Nov. 19, 2020 to
Dec. 31, 2022",NaN,"G/F Units 10 & 11 Robertsons Plaza, Brgy. Tabon, Centennial Road, Kawit, Cavite",14.4367556,120.9052081,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,168.0
CALABARZON,CAVITE,NaN,"JP Rizal St., Brgy. Asis III, Mendez, Cavite",PVT,"NEPHROLOGY CENTER OF CAVITE CT-R HEMODIALYSIS, INC.",9,Dr. Rosella M. Noche,"046-
8613013/861301
4",ncc.ctrmendez@gmail.com,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"JP Rizal St., Brgy. Asis III, Mendez, Cavite",14.1030297,120.9365882,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,169.0
CALABARZON,CAVITE,NaN,"#39 Governors Drive, Ibayo Silangan, Naic, Cavite",PVT,CURIS NAIC DIALYSIS CLINIC,12,Dr. Maria Divina Nazareno,0905-7944561,curismediply@gmail.com/curisnaichemodialysisclinic@gmail.com,"Dec. 11, 2020 to
Dec. 31, 2022",NaN,"#39 Governors Drive, Ibayo Silangan, Naic, Cavite",14.3093181,120.7698834,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,170.0
CALABARZON,CAVITE,NaN,"039 Governor's Drive, Ibayo Silangan, Naic, Cavite",PVT,"NAIC DIALYSIS CENTER INC.
(formerly MED LINE DIALYSIS CENTER)",15,"Dr. Maria Theresa
P. Santiago, FPSN","046-4093627 /
0936-9158496 /
0997-2507677",naicdialysisinc@gmail.com,"Jan. 1, 2022 to
Dec. 31, 2024",change name to Naic Dialysis Center Inc. 2/3/22,"039 Governor's Drive, Ibayo Silangan, Naic, Cavite",14.3093181,120.7698834,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,171.0
CALABARZON,CAVITE,NaN,"Estrella Hospital, Km. 43, Gen. Emilio Aguinaloo Highway, Brgy. San Miguel, Silang, Cavite",PVT,CAVITE DIALYSIS CENTER CORPORATION,8,Dr. Rogelio Aquino,"046-4870614 /
0923-1997819 /
0927-4793558",nephromedasia.silang@gmail.com,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"Estrella Hospital, Km. 43, Gen. Emilio Aguinaloo Highway, Brgy. San Miguel, Silang, Cavite",14.224614,120.968576,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,173.0
CALABARZON,CAVITE,NaN,"Premier Plaza, 7180 E. Aguinaldo Highway, Brgy. Lucsuhin, Silang, Cavite",PVT,"GLOBAL RELIANCE
RENALCARE, INC. (formerly RELIANCE RENAL SOLUTIONS, INC.)",15,Dr. Marie Fe A. Vergara-Lim Dy,0917-8126895,rvmarcelo@healthfirst.com.ph,"Jan. 1, 2021 to
Dec. 31, 2023","change name to Global Reliance Renalcare, inc. 6/28/21","Premier Plaza, 7180 E. Aguinaldo Highway, Brgy. Lucsuhin, Silang, Cavite",14.2129344,120.9686083,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,174.0
CALABARZON,CAVITE,NaN,"J. Rizal St., Brgy. Sabutan, Silang, Cavite",PVT,VELAZCO HOSPITAL DIALYSIS UNIT CO.,9,Dr. Agnes Baston,"046-4131492 /
0916-3980065",NaN,"Sept. 14, 2020 to
Dec. 31, 2022",NaN,"J. Rizal St., Brgy. Sabutan, Silang, Cavite",14.2213135,120.9738858,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,175.0
CALABARZON,CAVITE,NaN,"CDC Bldg., A. Soriano Highway, Poblacion IV, Tanza, Cavite",PVT,"CAVITE DIAGNOSTIC STROKE CARE CENTER, INC.",8,Dr. Luis Ricardo D. Sahilan,"046-
4352734/435266
0 / 0923-8515315",cdsccidc@gmail.com,"Jan.1, 2022 to
Dec.31, 2024",inc. frm 5-8,"CDC Bldg., A. Soriano Highway, Poblacion IV, Tanza, Cavite",14.394777,120.8585714,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,176.0
CALABARZON,Cavite,Bacoor City,"Groud Floor, Unit 3, FYNN Commercial Bldg., Panapaan 4, Bacoor City, Cavite",PVT,"HEMOTEK RENAL CENTER, INC.",20,Dr. Dabbie Que Wonghin,046-4319925,hrc.bacoor2@gmail.com,"Jan.1, 2022 to
Dec.31, 2024",NaN,"Groud Floor, Unit 3, FYNN Commercial Bldg., Panapaan 4, Bacoor City, Cavite",14.4512211,120.9524951,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,177.0
CALABARZON,Cavite,Bacoor City,"2nd Floor, Bacoor Doctors Medical Center, Molino Blvd., Brgy.
Bayanan, Bacoor City, Cavite",PVT,"HEMOTEK RENAL CENTER, INC.",4,Dr. Lilibeth Ibarrientos,"046-
7955381/0977-
2953303",Hemotekbacoor2016@gmail.com,"Jan.1, 2022 to
Dec.31, 2024",renewal,"2nd Floor, Bacoor Doctors Medical Center, Molino Blvd., Brgy.
Bayanan, Bacoor City, Cavite",14.4196273,120.9681825,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,178.0
